Location,Title,Level,Family,Job_Code,Twenty_Fifth,Fifty,Seventy_Fifth,Max
Berlin,Business Analyst,L1,Business-Operations,BUA-000,35000,40000,45000,50000
Berlin,Business Analyst,L2,Business-Operations,BUA-000,42000,48000,54000,60000
Berlin,Business Analyst,L3,Business-Operations,BUA-000,50400,57600,64800,72000
Berlin,Business Analyst,L4,Business-Operations,BUA-000,60480,69120,77760,86400
Berlin,Business Analyst,L5,Business-Operations,BUA-000,72576,82944,93312,103680
Berlin,Business Analyst,L6,Business-Operations,BUA-000,87091,99533,111974,124416
Berlin,Business Analyst,L7,Business-Operations,BUA-000,104509,119439,134369,149299
Berlin,Data Scientist,L1,Engineering-Science,DAS-000,40000,50000,60000,65000
Berlin,Data Scientist,L2,Engineering-Science,DAS-000,48000,60000,72000,78000
Berlin,Data Scientist,L3,Engineering-Science,DAS-000,57600,72000,86400,93600
Berlin,Data Scientist,L4,Engineering-Science,DAS-000,69120,86400,103680,112320
Berlin,Data Scientist,L5,Engineering-Science,DAS-000,82944,103680,124416,134784
Berlin,Data Scientist,L6,Engineering-Science,DAS-000,99533,124416,149299,161741
Berlin,Data Scientist,L7,Engineering-Science,DAS-000,119439,149299,179159,194089
Berlin,Data Analyst,L1,Data-Management,DAA-000,37000,46500,50000,60000
Berlin,Data Analyst,L2,Data-Management,DAA-000,44400,55800,60000,72000
Berlin,Data Analyst,L3,Data-Management,DAA-000,53280,66960,72000,86400
Berlin,Data Analyst,L4,Data-Management,DAA-000,63936,80352,86400,103680
Berlin,Data Analyst,L5,Data-Management,DAA-000,76723,96422,103680,124416
Berlin,Data Analyst,L6,Data-Management,DAA-000,92068,115707,124416,149299
Berlin,Data Analyst,L7,Data-Management,DAA-000,110481,138848,149299,179159
Berlin,Data Engineer,L1,Engineering-Data,DAE-000,40000,44000,50000,63000
Berlin,Data Engineer,L2,Engineering-Data,DAE-000,48000,52800,60000,75600
Berlin,Data Engineer,L3,Engineering-Data,DAE-000,57600,63360,72000,90720
Berlin,Data Engineer,L4,Engineering-Data,DAE-000,69120,76032,86400,108864
Berlin,Data Engineer,L5,Engineering-Data,DAE-000,82944,91238,103680,130637
Berlin,Data Engineer,L6,Engineering-Data,DAE-000,99533,109486,124416,156764
Berlin,Data Engineer,L7,Engineering-Data,DAE-000,119439,131383,149299,188117
Berlin,Database Engineer,L1,Engineering-Data,DBE-000,40000,44000,50000,63000
Berlin,Database Engineer,L2,Engineering-Data,DBE-000,48000,52800,60000,75600
Berlin,Database Engineer,L3,Engineering-Data,DBE-000,57600,63360,72000,90720
Berlin,Database Engineer,L4,Engineering-Data,DBE-000,69120,76032,86400,108864
Berlin,Database Engineer,L5,Engineering-Data,DBE-000,82944,91238,103680,130637
