location,level,Cluster,Code,Concate,min,mid,max
Barcelona,L1,Warehousing,WHS-000,BarcelonaWarehousingL1,44000,50600,57200
Barcelona,L2,Warehousing,WHS-000,BarcelonaWarehousingL2,59200,68100,77000
Barcelona,L3,Warehousing,WHS-000,BarcelonaWarehousingL3,71100,81700,92400
Barcelona,L4,Warehousing,WHS-000,BarcelonaWarehousingL4,81500,93800,106000
Barcelona,L5,Warehousing,WHS-000,BarcelonaWarehousingL5,111100,127700,144400
Barcelona,L6,Warehousing,WHS-000,BarcelonaWarehousingL6,162100,186400,210700
Barcelona,L7,Warehousing,WHS-000,BarcelonaWarehousingL7,192200,221100,249900
Warsaw,L1,Warehousing,WHS-000,WarsawWarehousingL1,37200,42800,48400
Warsaw,L2,Warehousing,WHS-000,WarsawWarehousingL2,57000,65500,74000
Warsaw,L3,Warehousing,WHS-000,WarsawWarehousingL3,74200,85300,96400
Warsaw,L4,Warehousing,WHS-000,WarsawWarehousingL4,82100,94400,106700
Warsaw,L5,Warehousing,WHS-000,WarsawWarehousingL5,125900,144700,163600
Warsaw,L6,Warehousing,WHS-000,WarsawWarehousingL6,148700,171000,193300
Warsaw,L7,Warehousing,WHS-000,WarsawWarehousingL7,171900,197700,223500
Berlin,L1,Warehousing,WHS-000,BerlinWarehousingL1,40500,46500,52600
Berlin,L2,Warehousing,WHS-000,BerlinWarehousingL2,56800,65300,73800
Berlin,L3,Warehousing,WHS-000,BerlinWarehousingL3,72300,83200,94000
Berlin,L4,Warehousing,WHS-000,BerlinWarehousingL4,87200,100200,113300
Berlin,L5,Warehousing,WHS-000,BerlinWarehousingL5,116500,134000,151400
Berlin,L6,Warehousing,WHS-000,BerlinWarehousingL6,155600,179000,202300
Berlin,L7,Warehousing,WHS-000,BerlinWarehousingL7,189300,217700,246000
Vienna,L1,Warehousing,WHS-000,ViennaWarehousingL1,40600,46700,52800
Vienna,L2,Warehousing,WHS-000,ViennaWarehousingL2,54200,62300,70500
Vienna,L3,Warehousing,WHS-000,ViennaWarehousingL3,70400,80900,91500
Vienna,L4,Warehousing,WHS-000,ViennaWarehousingL4,82600,94900,107300
Vienna,L5,Warehousing,WHS-000,ViennaWarehousingL5,111500,128300,145000
Vienna,L6,Warehousing,WHS-000,ViennaWarehousingL6,161300,185500,209700
Vienna,L7,Warehousing,WHS-000,ViennaWarehousingL7,174300,200400,226600
Hamburg,L1,Warehousing,WHS-000,HamburgWarehousingL1,42900,49300,55700
Hamburg,L2,Warehousing,WHS-000,HamburgWarehousingL2,50500,58000,65600
Hamburg,L3,Warehousing,WHS-000,HamburgWarehousingL3,71100,81700,92400
Hamburg,L4,Warehousing,WHS-000,HamburgWarehousingL4,81600,93800,106100
Hamburg,L5,Warehousing,WHS-000,HamburgWarehousingL5,122700,141100,159500
Hamburg,L6,Warehousing,WHS-000,HamburgWarehousingL6,163500,188000,212500
Hamburg,L7,Warehousing,WHS-000,HamburgWarehousingL7,182600,210000,237400
Munich,L1,Warehousing,WHS-000,MunichWarehousingL1,42200,48600,54900
Munich,L2,Warehousing,WHS-000,MunichWarehousingL2,53000,61000,68900
Munich,L3,Warehousing,WHS-000,MunichWarehousingL3,72000,82800,93600
Munich,L4,Warehousing,WHS-000,MunichWarehousingL4,83000,95400,107800
Munich,L5,Warehousing,WHS-000,MunichWarehousingL5,119800,137800,155800
Munich,L6,Warehousing,WHS-000,MunichWarehousingL6,159300,183200,207100
Munich,L7,Warehousing,WHS-000,MunichWarehousingL7,171600,197300,223000
Frankfurt,L1,Warehousing,WHS-000,FrankfurtWarehousingL1,39000,44800,50700
Frankfurt,L2,Warehousing,WHS-000,FrankfurtWarehousingL2,52900,60800,68700
Frankfurt,L3,Warehousing,WHS-000,FrankfurtWarehousingL3,74500,85700,96800
Frankfurt,L4,Warehousing,WHS-000,FrankfurtWarehousingL4,82000,94400,106700
Frankfurt,L5,Warehousing,WHS-000,FrankfurtWarehousingL5,113200,130200,147200
Frankfurt,L6,Warehousing,WHS-000,FrankfurtWarehousingL6,150000,172400,194900
Frankfurt,L7,Warehousing,WHS-000,FrankfurtWarehousingL7,199300,229200,259100
Stuttgart,L1,Warehousing,WHS-000,StuttgartWarehousingL1,38100,43800,49500
Stuttgart,L2,Warehousing,WHS-000,StuttgartWarehousingL2,58600,67400,76200
Stuttgart,L3,Warehousing,WHS-000,StuttgartWarehousingL3,72500,83400,94300
Stuttgart,L4,Warehousing,WHS-000,StuttgartWarehousingL4,81700,93900,106200
Stuttgart,L5,Warehousing,WHS-000,StuttgartWarehousingL5,122600,141000,159400
Stuttgart,L6,Warehousing,WHS-000,StuttgartWarehousingL6,152200,175100,197900
Stuttgart,L7,Warehousing,WHS-000,StuttgartWarehousingL7,183200,210700,238200
Nuremberg,L1,Warehousing,WHS-000,NurembergWarehousingL1,40000,46000,52000
Nuremberg,L2,Warehousing,WHS-000,NurembergWarehousingL2,60000,69000,78000
Nuremberg,L3,Warehousing,WHS-000,NurembergWarehousingL3,70400,80900,91500
Nuremberg,L4,Warehousing,WHS-000,NurembergWarehousingL4,88600,101900,115200
Nuremberg,L5,Warehousing,WHS-000,NurembergWarehousingL5,116200,133600,151000
Nuremberg,L6,Warehousing,WHS-000,NurembergWarehousingL6,157800,181400,205100
Nuremberg,L7,Warehousing,WHS-000,NurembergWarehousingL7,197600,227300,256900
Madrid,L1,Warehousing,WHS-000,MadridWarehousingL1,44000,50600,57200
Madrid,L2,Warehousing,WHS-000,MadridWarehousingL2,50200,57700,65300
Madrid,L3,Warehousing,WHS-000,MadridWarehousingL3,70900,81500,92200
Madrid,L4,Warehousing,WHS-000,MadridWarehousingL4,85600,98500,111300
Madrid,L5,Warehousing,WHS-000,MadridWarehousingL5,122700,141100,159500
Madrid,L6,Warehousing,WHS-000,MadridWarehousingL6,147100,169200,191300
Madrid,L7,Warehousing,WHS-000,MadridWarehousingL7,172100,197900,223700
Milan,L1,Warehousing,WHS-000,MilanWarehousingL1,41400,47600,53800
Milan,L2,Warehousing,WHS-000,MilanWarehousingL2,55900,64300,72700
Milan,L3,Warehousing,WHS-000,MilanWarehousingL3,70800,81400,92000
Milan,L4,Warehousing,WHS-000,MilanWarehousingL4,82800,95200,107600
Milan,L5,Warehousing,WHS-000,MilanWarehousingL5,125300,144200,163000
Milan,L6,Warehousing,WHS-000,MilanWarehousingL6,168500,193800,219100
Milan,L7,Warehousing,WHS-000,MilanWarehousingL7,198500,228200,258000
Paris,L1,Warehousing,WHS-000,ParisWarehousingL1,38000,43700,49400
Paris,L2,Warehousing,WHS-000,ParisWarehousingL2,58100,66800,75500
Paris,L3,Warehousing,WHS-000,ParisWarehousingL3,69300,79700,90100
Paris,L4,Warehousing,WHS-000,ParisWarehousingL4,81300,93500,105700
Paris,L5,Warehousing,WHS-000,ParisWarehousingL5,125000,143700,162500
Paris,L6,Warehousing,WHS-000,ParisWarehousingL6,158500,182300,206000
Paris,L7,Warehousing,WHS-000,ParisWarehousingL7,179700,206600,233600
Amstandarm,L1,Warehousing,WHS-000,AmstandarmWarehousingL1,44600,51300,58000
Amstandarm,L2,Warehousing,WHS-000,AmstandarmWarehousingL2,53100,61100,69100
Amstandarm,L3,Warehousing,WHS-000,AmstandarmWarehousingL3,73700,84700,95800
Amstandarm,L4,Warehousing,WHS-000,AmstandarmWarehousingL4,81100,93200,105400
Amstandarm,L5,Warehousing,WHS-000,AmstandarmWarehousingL5,124300,142900,161500
Amstandarm,L6,Warehousing,WHS-000,AmstandarmWarehousingL6,164800,189500,214200
Amstandarm,L7,Warehousing,WHS-000,AmstandarmWarehousingL7,171700,197500,223300
Barcelona,L1,Logistic-Operations,OPS-000,BarcelonaLogistic-OperationsL1,39100,44900,50800
Barcelona,L2,Logistic-Operations,OPS-000,BarcelonaLogistic-OperationsL2,53000,61000,68900
Barcelona,L3,Logistic-Operations,OPS-000,BarcelonaLogistic-OperationsL3,74900,86200,97400
Barcelona,L4,Logistic-Operations,OPS-000,BarcelonaLogistic-OperationsL4,88800,102100,115400
Barcelona,L5,Logistic-Operations,OPS-000,BarcelonaLogistic-OperationsL5,121800,140100,158400
Barcelona,L6,Logistic-Operations,OPS-000,BarcelonaLogistic-OperationsL6,168000,193200,218400
Barcelona,L7,Logistic-Operations,OPS-000,BarcelonaLogistic-OperationsL7,170000,195500,221000
Warsaw,L1,Logistic-Operations,OPS-000,WarsawLogistic-OperationsL1,43000,49400,55900
Warsaw,L2,Logistic-Operations,OPS-000,WarsawLogistic-OperationsL2,54300,62500,70600
Warsaw,L3,Logistic-Operations,OPS-000,WarsawLogistic-OperationsL3,66900,77000,87000
Warsaw,L4,Logistic-Operations,OPS-000,WarsawLogistic-OperationsL4,85200,97900,110700
Warsaw,L5,Logistic-Operations,OPS-000,WarsawLogistic-OperationsL5,125500,144300,163100
Warsaw,L6,Logistic-Operations,OPS-000,WarsawLogistic-OperationsL6,160800,184900,209000
Warsaw,L7,Logistic-Operations,OPS-000,WarsawLogistic-OperationsL7,185000,212700,240500
Berlin,L1,Logistic-Operations,OPS-000,BerlinLogistic-OperationsL1,41500,47800,54000
Berlin,L2,Logistic-Operations,OPS-000,BerlinLogistic-OperationsL2,58400,67100,75900
Berlin,L3,Logistic-Operations,OPS-000,BerlinLogistic-OperationsL3,70300,80800,91300
Berlin,L4,Logistic-Operations,OPS-000,BerlinLogistic-OperationsL4,83600,96100,108600
Berlin,L5,Logistic-Operations,OPS-000,BerlinLogistic-OperationsL5,113000,130000,146900
Berlin,L6,Logistic-Operations,OPS-000,BerlinLogistic-OperationsL6,165900,190800,215700
Berlin,L7,Logistic-Operations,OPS-000,BerlinLogistic-OperationsL7,187000,215100,243100
Vienna,L1,Logistic-Operations,OPS-000,ViennaLogistic-OperationsL1,37000,42500,48000
Vienna,L2,Logistic-Operations,OPS-000,ViennaLogistic-OperationsL2,56200,64600,73000
Vienna,L3,Logistic-Operations,OPS-000,ViennaLogistic-OperationsL3,68600,78900,89200
Vienna,L4,Logistic-Operations,OPS-000,ViennaLogistic-OperationsL4,83100,95600,108000
Vienna,L5,Logistic-Operations,OPS-000,ViennaLogistic-OperationsL5,128900,148300,167600
Vienna,L6,Logistic-Operations,OPS-000,ViennaLogistic-OperationsL6,148600,170800,193100
Vienna,L7,Logistic-Operations,OPS-000,ViennaLogistic-OperationsL7,194300,223400,252500
Hamburg,L1,Logistic-Operations,OPS-000,HamburgLogistic-OperationsL1,36600,42100,47500
Hamburg,L2,Logistic-Operations,OPS-000,HamburgLogistic-OperationsL2,55100,63400,71600
Hamburg,L3,Logistic-Operations,OPS-000,HamburgLogistic-OperationsL3,65200,75000,84800
Hamburg,L4,Logistic-Operations,OPS-000,HamburgLogistic-OperationsL4,88400,101700,115000
Hamburg,L5,Logistic-Operations,OPS-000,HamburgLogistic-OperationsL5,121700,140000,158300
Hamburg,L6,Logistic-Operations,OPS-000,HamburgLogistic-OperationsL6,150200,172700,195200
Hamburg,L7,Logistic-Operations,OPS-000,HamburgLogistic-OperationsL7,175500,201800,228200
Munich,L1,Logistic-Operations,OPS-000,MunichLogistic-OperationsL1,44200,50900,57500
Munich,L2,Logistic-Operations,OPS-000,MunichLogistic-OperationsL2,58500,67300,76100
Munich,L3,Logistic-Operations,OPS-000,MunichLogistic-OperationsL3,73000,83900,94900
Munich,L4,Logistic-Operations,OPS-000,MunichLogistic-OperationsL4,81400,93600,105900
Munich,L5,Logistic-Operations,OPS-000,MunichLogistic-OperationsL5,117700,135300,153000
Munich,L6,Logistic-Operations,OPS-000,MunichLogistic-OperationsL6,168500,193800,219100
Munich,L7,Logistic-Operations,OPS-000,MunichLogistic-OperationsL7,199100,228900,258800
Frankfurt,L1,Logistic-Operations,OPS-000,FrankfurtLogistic-OperationsL1,39800,45800,51800
Frankfurt,L2,Logistic-Operations,OPS-000,FrankfurtLogistic-OperationsL2,50600,58200,65800
Frankfurt,L3,Logistic-Operations,OPS-000,FrankfurtLogistic-OperationsL3,74400,85600,96800
Frankfurt,L4,Logistic-Operations,OPS-000,FrankfurtLogistic-OperationsL4,80100,92100,104100
Frankfurt,L5,Logistic-Operations,OPS-000,FrankfurtLogistic-OperationsL5,111700,128500,145200
Frankfurt,L6,Logistic-Operations,OPS-000,FrankfurtLogistic-OperationsL6,154700,178000,201200
Frankfurt,L7,Logistic-Operations,OPS-000,FrankfurtLogistic-OperationsL7,183800,211400,238900
Stuttgart,L1,Logistic-Operations,OPS-000,StuttgartLogistic-OperationsL1,43700,50200,56800
Stuttgart,L2,Logistic-Operations,OPS-000,StuttgartLogistic-OperationsL2,59800,68800,77800
Stuttgart,L3,Logistic-Operations,OPS-000,StuttgartLogistic-OperationsL3,71600,82400,93100
Stuttgart,L4,Logistic-Operations,OPS-000,StuttgartLogistic-OperationsL4,84100,96700,109300
Stuttgart,L5,Logistic-Operations,OPS-000,StuttgartLogistic-OperationsL5,120400,138500,156600
Stuttgart,L6,Logistic-Operations,OPS-000,StuttgartLogistic-OperationsL6,164300,188900,213600
Stuttgart,L7,Logistic-Operations,OPS-000,StuttgartLogistic-OperationsL7,174400,200500,226700
Nuremberg,L1,Logistic-Operations,OPS-000,NurembergLogistic-OperationsL1,38900,44700,50500
Nuremberg,L2,Logistic-Operations,OPS-000,NurembergLogistic-OperationsL2,53600,61600,69600
Nuremberg,L3,Logistic-Operations,OPS-000,NurembergLogistic-OperationsL3,73000,84000,94900
Nuremberg,L4,Logistic-Operations,OPS-000,NurembergLogistic-OperationsL4,87200,100300,113400
Nuremberg,L5,Logistic-Operations,OPS-000,NurembergLogistic-OperationsL5,112200,129000,145800
Nuremberg,L6,Logistic-Operations,OPS-000,NurembergLogistic-OperationsL6,156900,180400,204000
Nuremberg,L7,Logistic-Operations,OPS-000,NurembergLogistic-OperationsL7,180700,207800,234900
Madrid,L1,Logistic-Operations,OPS-000,MadridLogistic-OperationsL1,39500,45400,51300
Madrid,L2,Logistic-Operations,OPS-000,MadridLogistic-OperationsL2,57500,66100,74800
Madrid,L3,Logistic-Operations,OPS-000,MadridLogistic-OperationsL3,74900,86100,97300
Madrid,L4,Logistic-Operations,OPS-000,MadridLogistic-OperationsL4,81600,93900,106100
Madrid,L5,Logistic-Operations,OPS-000,MadridLogistic-OperationsL5,116900,134400,152000
Madrid,L6,Logistic-Operations,OPS-000,MadridLogistic-OperationsL6,169900,195400,220800
Madrid,L7,Logistic-Operations,OPS-000,MadridLogistic-OperationsL7,196100,225600,255000
Milan,L1,Logistic-Operations,OPS-000,MilanLogistic-OperationsL1,37100,42700,48200
Milan,L2,Logistic-Operations,OPS-000,MilanLogistic-OperationsL2,52200,60000,67800
Milan,L3,Logistic-Operations,OPS-000,MilanLogistic-OperationsL3,72800,83700,94600
Milan,L4,Logistic-Operations,OPS-000,MilanLogistic-OperationsL4,89100,102400,115800
Milan,L5,Logistic-Operations,OPS-000,MilanLogistic-OperationsL5,126400,145400,164300
Milan,L6,Logistic-Operations,OPS-000,MilanLogistic-OperationsL6,148000,170200,192400
Milan,L7,Logistic-Operations,OPS-000,MilanLogistic-OperationsL7,185500,213300,241100
Paris,L1,Logistic-Operations,OPS-000,ParisLogistic-OperationsL1,40700,46800,52900
Paris,L2,Logistic-Operations,OPS-000,ParisLogistic-OperationsL2,50400,58000,65500
Paris,L3,Logistic-Operations,OPS-000,ParisLogistic-OperationsL3,73300,84200,95200
Paris,L4,Logistic-Operations,OPS-000,ParisLogistic-OperationsL4,88800,102100,115400
Paris,L5,Logistic-Operations,OPS-000,ParisLogistic-OperationsL5,116000,133400,150800
Paris,L6,Logistic-Operations,OPS-000,ParisLogistic-OperationsL6,145400,167200,189000
Paris,L7,Logistic-Operations,OPS-000,ParisLogistic-OperationsL7,191900,220700,249400
Amstandarm,L1,Logistic-Operations,OPS-000,AmstandarmLogistic-OperationsL1,39100,44900,50800
Amstandarm,L2,Logistic-Operations,OPS-000,AmstandarmLogistic-OperationsL2,58000,66700,75400
Amstandarm,L3,Logistic-Operations,OPS-000,AmstandarmLogistic-OperationsL3,66400,76300,86300
Amstandarm,L4,Logistic-Operations,OPS-000,AmstandarmLogistic-OperationsL4,85600,98400,111200
Amstandarm,L5,Logistic-Operations,OPS-000,AmstandarmLogistic-OperationsL5,110500,127000,143600
Amstandarm,L6,Logistic-Operations,OPS-000,AmstandarmLogistic-OperationsL6,162700,187100,211500
Amstandarm,L7,Logistic-Operations,OPS-000,AmstandarmLogistic-OperationsL7,199700,229700,259700
Barcelona,L1,Procurement,PRM-000,BarcelonaProcurementL1,44000,50600,57200
Barcelona,L2,Procurement,PRM-000,BarcelonaProcurementL2,52200,60000,67800
Barcelona,L3,Procurement,PRM-000,BarcelonaProcurementL3,67200,77300,87400
Barcelona,L4,Procurement,PRM-000,BarcelonaProcurementL4,87500,100600,113700
Barcelona,L5,Procurement,PRM-000,BarcelonaProcurementL5,124100,142700,161300
Barcelona,L6,Procurement,PRM-000,BarcelonaProcurementL6,162400,186800,211200
Barcelona,L7,Procurement,PRM-000,BarcelonaProcurementL7,187600,215700,243900
Warsaw,L1,Procurement,PRM-000,WarsawProcurementL1,36100,41500,46900
Warsaw,L2,Procurement,PRM-000,WarsawProcurementL2,55500,63800,72100
Warsaw,L3,Procurement,PRM-000,WarsawProcurementL3,67500,77700,87800
Warsaw,L4,Procurement,PRM-000,WarsawProcurementL4,82000,94300,106600
Warsaw,L5,Procurement,PRM-000,WarsawProcurementL5,129700,149100,168600
Warsaw,L6,Procurement,PRM-000,WarsawProcurementL6,154200,177300,200400
Warsaw,L7,Procurement,PRM-000,WarsawProcurementL7,193000,222000,251000
Berlin,L1,Procurement,PRM-000,BerlinProcurementL1,42700,49100,55500
Berlin,L2,Procurement,PRM-000,BerlinProcurementL2,50900,58500,66100
Berlin,L3,Procurement,PRM-000,BerlinProcurementL3,66400,76300,86300
Berlin,L4,Procurement,PRM-000,BerlinProcurementL4,83600,96100,108600
