_id,Emp_ID,Division,Business_Title,Cluster
EID-1001,LL-1001,Management,People Business Partner,Management
EID-1002,LL-1002,Technology,Junior Software Engineer,Engineering
EID-1003,LL-1003,Productions,Lead Researcher,Productions
EID-1004,LL-1004,Operations,Junior Business Partner,People-Business-Partner
EID-1005,LL-1005,Operations,Junior Business Partner,People-Business-Partner
EID-1006,LL-1006,Logistics,HR Controlling Analyst,HR-Operations
EID-1007,LL-1007,Operations,Junior Operations Analyst,Product-Management
EID-1008,LL-1008,Productions,Lead Researcher,Productions
EID-1009,LL-1009,Productions,Product Designer ,Productions
EID-1010,LL-1010,Logistics,Junior Operations Analyst,Logistic-Operations
EID-1011,LL-1011,Technology,Data Analyst ,Data-Analysis
EID-1012,LL-1012,Management,Senior Business Partner,Management
EID-1013,LL-1013,Productions,People Business Partner,Productions
EID-1014,LL-1014,Operations,IT Support Manager,Tech-Operations
EID-1015,LL-1015,People,Senior Reward Partner,Comp&Benefit
EID-1016,LL-1016,Productions,Product Team Leader,Productions
EID-1017,LL-1017,Technology,Junior Software Engineer,Engineering
EID-1018,LL-1018,Operations,Senior People Buniness Partner,People-Business-Partner
EID-1019,LL-1019,People,Operations Assistance,Operation-Management
EID-1020,LL-1020,Operations,Junior Business Partner,People-Business-Partner
EID-1021,LL-1021,Productions,Junior Product Analyst,Productions
EID-1022,LL-1022,Logistics,Senior Software Engineer,Engineering
EID-1023,LL-1023,Operations,Junior Operations Analyst,Product-Management
EID-1024,LL-1024,Productions,Head of Product,Productions
EID-1025,LL-1025,Technology,Data Analyst,Data-Analysis
EID-1026,LL-1026,Productions,Productions Specialist,Productions
EID-1027,LL-1027,Logistics,Head of People Analytic,People-Tech
EID-1028,LL-1028,Productions,Senior Product Marketer,Productions
EID-1029,LL-1029,People,Data Analyst Junior,Data-Analysis
EID-1030,LL-1030,Technology,Senior Data Analyst,Data-Analysis
EID-1031,LL-1031,Technology,Junior Software Engineer,Engineering
EID-1032,LL-1032,Logistics,Senior Software Engineer,Engineering
EID-1033,LL-1033,Productions,Human Resources Manager,Productions
EID-1034,LL-1034,Management,Global Manager lead,Management
EID-1035,LL-1035,Technology,Senior Android App Developer,Engineering
EID-1036,LL-1036,Management,Lead Mangement,Management
EID-1037,LL-1037,People,Senior Reward Partner,Comp&Benefit
EID-1038,LL-1038,People,Executive Office Specialist,Management
EID-1039,LL-1039,Technology,Junior Software Engineer,Engineering
EID-1040,LL-1040,Productions,Product Team Leader,Productions
EID-1041,LL-1041,Technology,People Business Partner,People-Business-Partner
EID-1042,LL-1042,Operations,Senior Financial Officer,Financial-Service
EID-1043,LL-1043,Operations,Junior Operations Analyst,Product-Management
EID-1044,LL-1044,Technology,Data Analyst ,Data-Analysis
EID-1045,LL-1045,People,Reward Analyst,Comp&Benefit
EID-1046,LL-1046,Technology,Data Analyst Junior,Data-Analysis
