_id,Emp_ID,Division,Business_Title,Cluster
EID-1006,LL-1006,Logistics,HR Controlling Analyst,HR-Operations
EID-1010,LL-1010,Logistics,Junior Operations Analyst,Logistic-Operations
EID-1495,LL-1495,People, Senior Executive Office Manager,Management
EID-1022,LL-1022,Logistics,Senior Software Engineer,Engineering
EID-1027,LL-1027,Logistics,Head of People Analytic,People-Tech
EID-1851,LL-1851,People, Senior Executive Office Manager,Management
EID-1032,LL-1032,Logistics,Senior Software Engineer,Engineering
EID-2096,LL-2096,People, Senior Executive Office Manager,Management
EID-1601,LL-1601,Operations, Senior Executive Office Manager,Management
EID-1057,LL-1057,Logistics,Junior business partner,People-Business-Partner
EID-1058,LL-1058,Logistics,Senior Operations Analyst,Warehousing
EID-1063,LL-1063,Logistics,Head of Operations,Logistic-Operations
EID-1067,LL-1067,Logistics,Junior business partner,People-Business-Partner
EID-1068,LL-1068,Logistics,Senior Operations Analyst,Packaging
EID-1076,LL-1076,Logistics,Senior Operations Analyst,Quality-Assurance
EID-1081,LL-1081,Logistics,Senior business partner,Transportation
EID-1082,LL-1082,Logistics,Senior Operations Analyst,Warehousing
EID-1084,LL-1084,Logistics,Operations Assistance,Logistic-Operations
EID-1106,LL-1106,Logistics,Director of Data Analsyt Team,Data-Analysis
EID-1114,LL-1114,Logistics,People Business Partner,People-Business-Partner
EID-1119,LL-1119,Logistics,Operations Assistance,Quality-Assurance
EID-1123,LL-1123,Logistics,Junior business partner,People-Business-Partner
EID-1124,LL-1124,Logistics,Senior Operations Analyst,Warehousing
EID-1125,LL-1125,Logistics,Data Analsyt,Data-Analysis
EID-1129,LL-1129,Logistics,Head of Operations,Procurement
EID-1133,LL-1133,Logistics,Senior business partner,People-Business-Partner
EID-1135,LL-1135,Logistics,People Business Partner,People-Business-Partner
EID-1140,LL-1140,Logistics,Operations Assistance,Transportation
EID-1143,LL-1143,Logistics,AFC Associate,Warehousing
EID-1144,LL-1144,Logistics,Senior business partner,People-Business-Partner
EID-1145,LL-1145,Logistics,Senior Operations Analyst,Procurement
EID-1146,LL-1146,Logistics,Data Analsyt,Data-Analysis
EID-1150,LL-1150,Logistics,Head of Operations,Quality-Assurance
EID-1153,LL-1153,Logistics,AFC Associate,Transportation
EID-1154,LL-1154,Logistics,Accounting Specialist,Procurement
EID-1156,LL-1156,Logistics,Operations Manager,Logistic-Operations
EID-1160,LL-1160,Logistics,Senior business partner,People-Business-Partner
EID-2989,LL-2989,People, Senior Executive Office Manager,Management
EID-1165,LL-1165,Logistics,Senior business partner,People-Business-Partner
EID-1166,LL-1166,Logistics,Operations Specialist,Quality-Assurance
EID-1170,LL-1170,Logistics,Transportation Manager,Transportation
EID-1171,LL-1171,Logistics,Operations Specialist,Warehousing
EID-2996,LL-2996,People, Senior Executive Office Manager,Management
EID-1175,LL-1175,Logistics,Senior business partner,People-Business-Partner
EID-1177,LL-1177,Logistics,Senior business partner,People-Business-Partner
EID-1178,LL-1178,Logistics,Supply Chain Analyst,Packaging
EID-1179,LL-1179,Logistics,Logistic Manager,Quality-Assurance
EID-1180,LL-1180,Logistics,Supply Chain Operations Lead,Transportation
EID-1181,LL-1181,Logistics,Warehouse Coordinator Lead,Warehousing
EID-1182,LL-1182,Logistics,Senior Team Lead Logistics,Logistic-Operations
EID-1183,LL-1183,Logistics,Logistics Data Analyst,Data-Analysis
EID-1184,LL-1184,Logistics,Senior business partner,People-Business-Partner
EID-1185,LL-1185,Logistics,Operations Specialist,Quality-Assurance
EID-1186,LL-1186,Logistics,Senior Logistic Partner,Transportation
EID-1187,LL-1187,Logistics,Senior Logistic Analyst,Warehousing
